,created_at,tweets
40,2019-12-13 20:54:03,"This amazing poster, part of the @IUBArchives collection, highlights the official dedication of the new Fieldhouse,… https://t.co/T8nDsh6MRq"
41,2019-12-13 20:45:22,"RT @IUHoosiers: 🔊 WE'RE ALL FOR YOU!

#IndianaDay | #GoIU https://t.co/mu9m4zQeSo"
42,2019-12-13 20:44:56,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
43,2019-12-13 20:38:16,"RT @IndianaWR: UNI Open Next for #IUWR

https://t.co/1gBJrPit3I"
44,2019-12-13 20:34:41,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
45,2019-12-13 20:33:33,"RT @IUHoosiers: Today, #IUTF begins the indoor season with the Hoosier Open. Events start at 3:45p.

📝: https://t.co/BHm5nAliuJ
📊: https://…"
46,2019-12-13 20:26:45,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
47,2019-12-13 20:22:10,RT @IUHoosiers: Friday + Sunday. 👇 https://t.co/IuuCLkJyJC
48,2019-12-13 20:20:13,@IndianaFootball @taxslayerbowl @IUAA @IUBloomington @IUHoosiers https://t.co/TqZymaGZJ9
49,2019-12-13 20:17:47,"Today, #IUTF begins the indoor season with the Hoosier Open. Events start at 3:45p.

📝: https://t.co/BHm5nAliuJ
📊:… https://t.co/olQnWBSSrz"
50,2019-12-13 20:13:31,"RT @IndianaMBB: .@robphinisee1 made his return on Tuesday night and had an immediate impact for the Hoosiers.

https://t.co/r6qElGCk6K"
51,2019-12-13 20:02:36,"RT @caiwarriorstf: 🔷ALUMNI REPORT🔶

Congrats to Skylar Stidam for being named to the All Big Ten Academic team for XC!

#Warrior4Ever #Warr…"
