,created_at,tweets
57,2019-12-11 17:00:46,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
58,2019-12-11 16:43:17,RT @IUBarstool: https://t.co/vXPI6829LK
59,2019-12-11 16:35:02,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
60,2019-12-11 16:22:42,@ballerboy1992 @IUBarstool But better than Da’ron Davis 😂 dude needs to practice lay ups
61,2019-12-11 16:10:05,https://t.co/MD6GJSfM1p https://t.co/zqYIvB5u9w
62,2019-12-11 16:08:43,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
63,2019-12-11 15:54:51,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
64,2019-12-11 15:49:29,@IUBarstool Lmao you must’ve been on some good drugs if you think Brunk was or ever will be player of the game.
65,2019-12-11 15:40:25,"iu fans on october 20: omfg why are purdue fans still celebrating beating ohio state
also iu fans: https://t.co/GQiis2dMQr"
66,2019-12-11 15:40:07,"""Unbelievable, Unbelievable, Unbelievable, can't believe it!""  @DickieV has hilarious play-calling, but still ranks… https://t.co/R09pzp1nuF"
67,2019-12-11 15:05:12,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
68,2019-12-11 15:04:51,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
69,2019-12-11 15:03:49,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
70,2019-12-11 15:02:27,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
71,2019-12-11 14:43:27,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
72,2019-12-11 14:39:02,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
73,2019-12-11 14:31:24,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
74,2019-12-11 14:29:48,RT @josh_kastner12: Y’all post this every year like UK didn’t beat y’all in the sweet sixteen and win the natty that year... https://t.co/l…
75,2019-12-11 14:13:31,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
76,2019-12-11 13:58:31,"I know this was basically a copycat play of the UConn inbound to Akok earlier... but man, so much cooler seeing our… https://t.co/esojHj1nGK"
77,2019-12-11 13:57:33,anybody’s else notice they gave kentucky the points?😂😂 https://t.co/pvEIUNF7Dj
78,2019-12-11 13:38:48,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
79,2019-12-11 13:13:45,@BarstoolStorrs @IUBarstool It sounded nice 😂
80,2019-12-11 12:48:43,@IUBarstool Basically lost at home.  Go Hoosiers!
81,2019-12-11 12:12:02,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
82,2019-12-11 11:39:52,@BarstoolStorrs @IUBarstool Find new management
83,2019-12-11 08:04:06,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
84,2019-12-11 07:38:29,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
85,2019-12-11 07:11:39,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
86,2019-12-11 06:51:18,RT @josh_kastner12: Y’all post this every year like UK didn’t beat y’all in the sweet sixteen and win the natty that year... https://t.co/l…
87,2019-12-11 06:50:02,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
88,2019-12-11 06:47:03,RT @IUBarstool: https://t.co/vXPI6829LK
89,2019-12-11 06:34:18,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
90,2019-12-11 06:17:27,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
91,2019-12-11 06:08:57,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
92,2019-12-11 06:07:04,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
93,2019-12-11 06:01:55,RT @bob_clone116: I will never get tired of watching this and RTing this https://t.co/Z0GopXpTim
94,2019-12-11 06:00:36,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
95,2019-12-11 05:58:11,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
96,2019-12-11 05:53:02,🤑🤑🤑🤑 https://t.co/uqbpaUDUEU
97,2019-12-11 05:51:32,@justinsmith3_ is not human 😤 https://t.co/gTp04SCcjs
98,2019-12-11 05:39:02,@BarstoolStorrs @IUBarstool Pretty sure it was a home game. No IU band or cheerleaders. Way to hold home court!! #hoosiers
99,2019-12-11 05:38:15,RT @IUBarstool: https://t.co/vXPI6829LK
100,2019-12-11 05:37:24,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
101,2019-12-11 05:36:59,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
102,2019-12-11 05:32:03,@BarstoolStorrs @IUBarstool @OldTakesExposed how’s this one
103,2019-12-11 05:30:52,@BarstoolStorrs @IUBarstool Tough L at home for the boys 😂
104,2019-12-11 05:30:11,RT @indiana_edits: All the little piss ants saying we need to “get over this” can f right off. for a whole generation of Hoosier fans (incl…
105,2019-12-11 05:29:09,@BarstoolStorrs @IUBarstool Haaaaa has haaaaaa🤣🤣🤣
106,2019-12-11 05:28:23,@IUBarstool Oops
107,2019-12-11 05:27:30,BaSiCaLlY RuN ThAT pLAcE https://t.co/rztdhnqJBJ
108,2019-12-11 05:26:00,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
109,2019-12-11 05:25:39,@Lccameron4 https://t.co/HqhP52yO20
110,2019-12-11 05:21:48,@IUBarstool Hell no
111,2019-12-11 05:20:22,It’s been a good day 🙌🏼 https://t.co/FMDsxNG793
112,2019-12-11 05:19:07,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
113,2019-12-11 05:18:45,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
114,2019-12-11 05:17:55,😳 https://t.co/kmOnJEs4PX
115,2019-12-11 05:17:22,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
116,2019-12-11 05:17:02,@IUBarstool A dubious distinction in this game
117,2019-12-11 05:16:55,@IUBarstool No
118,2019-12-11 05:16:51,@SpectorMatt @IndianaMBB @IUBarstool It literally took me two days to watch it
119,2019-12-11 05:15:08,@IUBarstool There a different team with Rob Fin. In the lineup
120,2019-12-11 05:14:39,@IUBarstool 2nd Half***
121,2019-12-11 05:14:31,That game took YEARS off of my life #iubb @IndianaMBB @IUBarstool
122,2019-12-11 05:13:49,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
123,2019-12-11 05:13:41,✈️✈️✈️ https://t.co/PtWQQI1JNY
124,2019-12-11 05:13:22,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
125,2019-12-11 05:13:00,"@IUBarstool Drink, drank, Brunk"
126,2019-12-11 05:12:02,@bradtank11 https://t.co/YI6mM9pskk
127,2019-12-11 05:11:58,@IUBarstool Ya he is
128,2019-12-11 05:11:50,RT @IUBarstool: Player of the game 😤 #IUBB https://t.co/urlcC5snke
129,2019-12-11 05:11:41,Player of the game 😤 #IUBB https://t.co/urlcC5snke
130,2019-12-11 05:11:30,RT @IUBarstool: https://t.co/vXPI6829LK
131,2019-12-11 05:11:26,Cue YNW Melly: Murder on my Mind https://t.co/RTzg3Rricz
132,2019-12-11 05:11:18,RT @IUBarstool: https://t.co/vXPI6829LK
133,2019-12-11 05:11:00,RT @peyburnss: For all the LBN fans that are dissing Louisville tonight. https://t.co/DTj1HmBRJH
134,2019-12-11 05:10:32,Send it in Justin! https://t.co/Mx9z5bVJYY
135,2019-12-11 05:10:29,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
136,2019-12-11 05:09:53,@IUBarstool Me trying to see that video https://t.co/WRDxDSApYt
137,2019-12-11 05:09:05,Absolutely disgusting #IUBB https://t.co/f6d45EvLYn
138,2019-12-11 05:09:00,RT @IUBarstool: https://t.co/vXPI6829LK
139,2019-12-11 05:08:39,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
140,2019-12-11 05:08:10,RT @IUBarstool: https://t.co/vXPI6829LK
141,2019-12-11 05:08:02,RT @IUBarstool: https://t.co/vXPI6829LK
142,2019-12-11 05:07:59,RT @IUBarstool: https://t.co/vXPI6829LK
143,2019-12-11 05:07:55,RT @IUBarstool: https://t.co/vXPI6829LK
144,2019-12-11 05:07:42,https://t.co/vXPI6829LK
145,2019-12-11 05:06:32,RT @JeffMercer54: A moment all Hoosiers remember where they were when Wat hit the shot. I was at a restaurant in Cleveland after working a…
146,2019-12-11 05:02:51,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
147,2019-12-11 04:57:34,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
148,2019-12-11 04:56:01,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
149,2019-12-11 04:54:55,Do you all really celebrate this every year? https://t.co/uhFf5FT88R
150,2019-12-11 04:50:24,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
151,2019-12-11 04:49:40,BROUGHT DOWN THE HAMMER @justinsmith3_ #IUBB
152,2019-12-11 04:49:33,This dunk was silly https://t.co/ORa7vQymuj
153,2019-12-11 04:49:15,OH MY GOD
154,2019-12-11 04:48:45,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
155,2019-12-11 04:47:35,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
156,2019-12-11 04:44:40,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
157,2019-12-11 04:42:05,@IUBarstool Too much grit https://t.co/QlAQV3KYJh
